,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
1885,45130,793.896,300.1792890337642,191.9035958883884,1.5642191989375185,0.7689602525014834,45635,239.71086886893116,0.7940948761261262,0.9889339322888134,0.8998041046850835,0.7985589866660269,0.006651435608991,0.0016684882768547,0.6376964551850717,0.997497038294888,SIRA
6754,55559,934.184,369.2990243252361,192.66884404007865,1.9167552811414343,0.8531198325584048,56331,265.9697649469595,0.652009106698587,0.9862952903374697,0.8000174037845815,0.7202016453548059,0.006646970325694,0.0011031128395425,0.5186904099717697,0.9942025825908052,HOROZ
8383,83982,1174.925,412.0556943254543,260.2859528335848,1.58308848341464,0.7752319870022998,85570,327.0003110792839,0.7419560031804929,0.9814420941918895,0.7644970033366443,0.7935827985937478,0.0049064763202287,0.0012003791752831,0.629773658223885,0.9969874254921396,BARBUNYA
9464,33213,684.27,261.48755750561213,162.1965754351361,1.6121644788374918,0.7843772241419736,33610,205.6407182424944,0.7276372001314493,0.9881880392740257,0.8913801726439949,0.7864263990384356,0.0078730484300006,0.001857612052428,0.6184664811045606,0.9970696921883916,DERMASON
6555,48856,831.8069999999999,314.0744965301117,198.51262189276147,1.582138674788034,0.7749228390005246,49420,249.41008639904905,0.7128100379340531,0.988587616349656,0.8873248194566902,0.7941112352468167,0.0064285757436161,0.0015769571413649,0.6306126539452251,0.9977166686174636,SIRA
5579,42119,770.656,296.32737889097547,181.43799235081727,1.633215706653186,0.7906340426106224,42501,231.5762863177064,0.7976327999242496,0.9910119761887956,0.8911827827689248,0.7814879852965181,0.0070354799233356,0.0016186863812252,0.6107234711628109,0.9974431655248568,SIRA
9542,203688,1738.084,676.0589864227641,389.1160898527235,1.7374223375821995,0.8177558262528676,207028,509.2579075360694,0.7880710659898477,0.9838669165523504,0.8472933240809413,0.7532743706739401,0.0033190908959917,0.0006591916143124,0.5674222775142205,0.9858521397949724,BOMBAY
9014,28154,633.8069999999999,241.42406071412344,149.1825990007049,1.6183124729780496,0.7862349758373769,28509,189.3324751395644,0.6679953496096994,0.9875477919253568,0.8807160431087236,0.7842320047949071,0.0085751246968147,0.002000775934572,0.6150198373446393,0.9952942739037608,DERMASON
2650,41759,773.648,286.051006542607,186.48742454304124,1.53388898604574,0.7582725659659739,42367,230.584496765493,0.7583996222440158,0.9856492081100856,0.8767446810130216,0.8060957363949974,0.0068500444585025,0.0017841018734388,0.649790336234193,0.9967062399885872,SIRA
9850,54916,883.4429999999999,336.04715870194514,208.7669714205862,1.6096758812721277,0.7836179153863774,55402,264.4262143560585,0.7665335976103403,0.9912277535107036,0.884202406333992,0.7868723407079589,0.006119294171133,0.0014470988988372,0.6191680805712221,0.9966599257490536,SIRA
515,36536,687.345,231.54174182620235,201.21178854732776,1.1507364627979566,0.4947968024019755,36879,215.6828226967644,0.7847753243405791,0.9906993139727216,0.971809873238169,0.9315072997017452,0.0063373588194165,0.0029432903765475,0.8677058493976371,0.9985007598849334,SEKER
3428,39688,750.145,287.8652303032496,177.0917121612194,1.625514976337148,0.7883791514755188,40257,224.7939746778128,0.6668010752688172,0.985865812156892,0.886295695990119,0.7809000567418483,0.0072532057625289,0.0016637634454912,0.6098048986194217,0.9912469953496262,DERMASON
7127,54088,948.654,381.6030998461974,181.27175055124067,2.1051437892873905,0.8799712562969425,54923,262.42519028407975,0.6900387834251888,0.9847968974746464,0.7552575969591685,0.6876914532136885,0.0070552266648091,0.0009733415012471,0.4729195348231548,0.9955636215656464,HOROZ
6932,26627,603.9530000000001,215.50598939307503,157.97829463233612,1.3641493592181348,0.6801666079178454,27005,184.12644937016293,0.8169044331952754,0.9860025921125718,0.917330464334354,0.854391332179279,0.0080935137038748,0.002660383246505,0.7299845485030831,0.9958079540796204,DERMASON
10310,37084,730.084,271.3184831865426,175.42775532893393,1.5466109264056296,0.762850401922599,37800,217.2943056708085,0.7263681592039801,0.9810582010582012,0.8742804652612367,0.8008827969210256,0.0073163219498042,0.0018567286167575,0.6414132544040448,0.9920167476026897,SIRA
8909,68118,1027.932,359.64524903476405,241.6575617778329,1.4882433075502215,0.7406118107480595,69292,294.50047760278727,0.7351788894285252,0.9830572071812042,0.8101081104158269,0.8188638064681351,0.00527973882138,0.0014643298164143,0.6705379335434835,0.9979235920546444,BARBUNYA
10357,73064,1093.025,382.3034482888348,243.98913895688997,1.5668871570401477,0.7698639376695042,74538,305.0048755291133,0.7233343233343233,0.980224851753468,0.7685163614317375,0.7978083297294211,0.0052324461881204,0.001307611703006,0.6364981309856486,0.9973207469214704,BARBUNYA
9509,42748,774.1639999999999,294.589186061153,184.95562647069937,1.5927560122526023,0.7783403686443241,43153,233.299044272236,0.7287915984724496,0.9906147892382916,0.8963130523141858,0.7919470751509734,0.0068912975124252,0.0016721121372375,0.6271801698401815,0.9989449862785572,SIRA
7695,76559,1054.793,404.5321594330224,243.5616489981172,1.6609025316467183,0.7984340397714944,77900,312.2145837487085,0.7898869217118567,0.982785622593068,0.864712303142616,0.7717917512078574,0.0052839268986405,0.0011564772497712,0.5956625072324914,0.9893373662694768,CALI
2036,26625,592.1650000000001,214.7993943135835,157.99607762373034,1.3595235878268508,0.67746850369939,26911,184.11953421235268,0.7337742868954114,0.9893723756084872,0.9541441917613072,0.8571697085121125,0.0080675828850172,0.0026865223577435,0.73473990919074,0.9988962374625692,DERMASON
